epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.903,1.742,2.35415,1.73697,0.52635,0.42427,0.44179,0.19163,1.90429,1.91673,1.84393,0.000555067,0.000555067,0.000555067
2,300.102,1.76198,1.897,1.73948,0.60588,0.41319,0.43989,0.20076,1.90054,1.76233,1.83155,0.00108324,0.00108324,0.00108324
3,440.454,1.75039,1.80212,1.72399,0.5203,0.54071,0.50437,0.24732,1.76424,1.71898,1.75792,0.00158391,0.00158391,0.00158391
4,580.772,1.70596,1.70793,1.69228,0.72634,0.51073,0.57956,0.30465,1.74704,1.52272,1.73949,0.00154323,0.00154323,0.00154323
5,715.94,1.65602,1.61009,1.65217,0.72133,0.58286,0.60919,0.33636,1.66994,1.461,1.67676,0.00150197,0.00150197,0.00150197
6,846.38,1.62479,1.54993,1.61844,0.71431,0.60575,0.63506,0.36307,1.60283,1.32529,1.56284,0.00146071,0.00146071,0.00146071
7,975.309,1.59151,1.48456,1.59684,0.65443,0.58916,0.61658,0.34647,1.63295,1.34119,1.61703,0.00141945,0.00141945,0.00141945
8,1105,1.56259,1.45467,1.58151,0.71322,0.59094,0.62796,0.36105,1.54783,1.2602,1.52418,0.00137819,0.00137819,0.00137819
9,1234.48,1.54507,1.4028,1.55468,0.68281,0.60836,0.65257,0.37022,1.62418,1.31656,1.5469,0.00133693,0.00133693,0.00133693
10,1364.21,1.52264,1.35072,1.54223,0.72959,0.64211,0.66806,0.36783,1.61722,1.24906,1.54319,0.00129568,0.00129568,0.00129568
11,1503.63,1.49962,1.34135,1.52457,0.70609,0.60881,0.6606,0.37383,1.57012,1.21554,1.53985,0.00125442,0.00125442,0.00125442
12,1647.73,1.48521,1.32691,1.51929,0.7189,0.61395,0.6517,0.3633,1.5944,1.28373,1.54232,0.00121316,0.00121316,0.00121316
13,1795.42,1.47122,1.29038,1.51327,0.71062,0.59233,0.64143,0.36564,1.54417,1.19288,1.50174,0.0011719,0.0011719,0.0011719
14,1938.62,1.46497,1.26639,1.49635,0.74149,0.63657,0.67517,0.4045,1.48506,1.16928,1.45932,0.00113064,0.00113064,0.00113064
15,2078.8,1.45071,1.25262,1.49249,0.73949,0.63986,0.66831,0.40108,1.51877,1.1601,1.48331,0.00108938,0.00108938,0.00108938
16,2217.32,1.42804,1.21931,1.47354,0.68307,0.64953,0.67511,0.39447,1.52219,1.15959,1.48301,0.00104813,0.00104813,0.00104813
17,2353.49,1.4056,1.19651,1.45676,0.71679,0.66404,0.68579,0.39794,1.54669,1.13559,1.50266,0.00100687,0.00100687,0.00100687
18,2492.76,1.40613,1.17922,1.45284,0.72414,0.64841,0.68985,0.40798,1.49222,1.1063,1.45481,0.00096561,0.00096561,0.00096561
19,2636.03,1.39112,1.17446,1.44599,0.74328,0.64397,0.69385,0.40801,1.52943,1.12357,1.48803,0.000924352,0.000924352,0.000924352
20,2777.03,1.37357,1.13028,1.43387,0.74378,0.65637,0.69732,0.41844,1.49605,1.0881,1.48457,0.000883093,0.000883093,0.000883093
21,2917.9,1.36942,1.13193,1.42838,0.71653,0.6523,0.69552,0.42205,1.4595,1.08905,1.43627,0.000841835,0.000841835,0.000841835
22,3052.86,1.35108,1.11224,1.4284,0.70698,0.64827,0.69124,0.41639,1.47089,1.07931,1.44894,0.000800577,0.000800577,0.000800577
23,3193.56,1.34108,1.08411,1.4114,0.6969,0.71945,0.7247,0.43228,1.45578,1.04409,1.44773,0.000759318,0.000759318,0.000759318
24,3333.11,1.34064,1.08364,1.41679,0.75058,0.67132,0.70821,0.43219,1.43416,1.06625,1.43024,0.00071806,0.00071806,0.00071806
25,3475.15,1.31586,1.05854,1.3979,0.74754,0.66302,0.70615,0.42894,1.46899,1.02766,1.43693,0.000676802,0.000676802,0.000676802
26,3618.35,1.3176,1.04118,1.39338,0.72846,0.67314,0.70088,0.42574,1.4135,1.03775,1.41121,0.000635544,0.000635544,0.000635544
27,3757.53,1.30151,1.03437,1.3889,0.76823,0.65893,0.717,0.43994,1.40247,1.00954,1.41234,0.000594286,0.000594286,0.000594286
28,3891.66,1.28715,1.01022,1.37558,0.72929,0.67717,0.71419,0.43456,1.44108,0.99917,1.41618,0.000553027,0.000553027,0.000553027
29,4024.24,1.28361,1.00554,1.36988,0.68203,0.71041,0.70926,0.43531,1.41948,1.00744,1.41348,0.000511769,0.000511769,0.000511769
30,4166.2,1.2648,0.98823,1.35826,0.74041,0.67581,0.70505,0.43775,1.41166,0.99167,1.40979,0.000470511,0.000470511,0.000470511
31,4303.67,1.28068,0.8852,1.39336,0.69193,0.68066,0.70607,0.43677,1.41126,0.99187,1.41941,0.000429253,0.000429253,0.000429253
32,4434.38,1.26537,0.86508,1.39151,0.70082,0.69768,0.71173,0.44223,1.37689,0.97998,1.39525,0.000387994,0.000387994,0.000387994
